experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,36,1979773876,66.213539,1.188328,15.513026,2374.858887,nan,10342400,1257.16,12,False,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,31,1463155632,66.434967,1.235922,17.564516,2153.956299,nan,10342400,2111.33,20,False,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,39,2072003106,62.314884,1.329523,13.845097,1482.573853,nan,10342400,1151.86,11,True,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,19,1452011280,64.090355,1.292945,15.539261,2054.541992,nan,10342400,1422.01,13,True,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,37,1141012315,64.499077,1.074474,12.073976,1203.114136,nan,10342400,1268.36,12,False,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,32,2017103037,66.999321,1.148782,16.897818,2491.227295,nan,10342400,1274.35,12,False,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,40,1170765907,65.303490,1.236312,13.359100,1618.479370,nan,10342400,1155.58,11,True,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,38,367739878,65.828300,1.076555,15.616982,2118.700195,nan,10342400,1165.92,11,False,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,33,1786782690,67.209801,1.396957,18.274899,3164.450195,nan,10342400,1247.67,12,False,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,41,1172123788,64.432648,1.087983,13.364276,1607.614624,nan,10342400,1179.26,11,True,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,20,1587951379,65.170273,1.341592,15.053912,1741.732788,nan,10342400,2511.19,24,True,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,39,1089265277,66.250900,1.185273,14.698922,1853.538696,nan,10342400,1191.13,11,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,42,55432006,64.694862,1.103408,13.199635,1614.687256,nan,10342400,1187.07,11,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,34,1142864239,66.689209,1.494508,17.685011,2709.698975,nan,10342400,1388.89,13,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,40,639881387,65.079620,1.254117,15.310645,1428.413452,nan,10342400,1266.93,12,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,43,2120819901,64.432922,1.116437,13.297975,1579.613037,nan,10342400,1150.34,11,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,35,1048586450,67.189049,1.306979,20.864124,3256.556152,nan,10342400,1382.75,13,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,41,1467655344,67.356476,1.203325,17.448748,2611.892822,nan,10342400,1193.10,11,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,44,998856824,64.055130,1.204252,14.391878,1862.046631,nan,10342400,1156.59,11,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,36,1549840074,66.622620,1.233358,16.510410,2475.222412,nan,10342400,1706.45,16,False,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,42,1710678916,64.127136,1.091353,19.699207,3209.261475,nan,10342400,1594.23,15,False,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,45,180753376,65.124229,1.206752,12.902289,1420.399658,nan,10342400,1143.47,11,True,False,ReLU
