experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,forecast_multiplier,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason
ensemble,NBEATS-G,['Generic'],Monthly,12,18,54,3,30,1,True,0,42,13.110760,0.934621,,,0.893997,25589760,1662.54,12,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,54,3,30,1,True,1,43,23.812195,3.227676,,,2.343457,25589760,1854.50,13,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,54,3,30,1,True,2,44,12.969361,0.940780,,,0.891994,25589760,1560.49,11,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,72,4,30,1,True,0,42,25.379784,3.278494,,,2.421688,26142720,1714.82,13,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,36,2,30,1,True,3,45,12.877299,0.919491,,,0.878790,25036800,1610.45,12,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,36,2,30,1,True,4,46,12.835978,0.921199,,,0.878161,25036800,1875.04,14,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,54,3,30,1,True,3,45,13.125391,0.928747,,,0.891742,25589760,1475.12,12,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,54,3,30,1,True,4,46,13.219510,0.955773,,,0.907716,25589760,1514.63,12,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,72,4,30,1,True,1,43,13.062887,0.934790,,,0.892418,26142720,1483.72,13,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,72,4,30,1,True,2,44,13.598097,0.950033,,,0.918137,26142720,1516.42,13,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,72,4,30,1,True,3,45,13.584897,0.959760,,,0.922254,26142720,1753.95,15,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,72,4,30,1,True,4,46,13.517814,0.952151,,,0.916351,26142720,1401.37,12,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,90,5,30,1,True,0,42,13.019863,0.946846,,,0.896597,26695680,1144.77,12,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,90,5,30,1,True,1,43,13.689923,0.968511,,,0.930010,26695680,1134.28,12,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,90,5,30,1,True,2,44,13.426902,0.950623,,,0.912481,26695680,1039.65,11,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,90,5,30,1,True,3,45,14.023500,0.979386,,,0.946687,26695680,1322.94,14,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,90,5,30,1,True,4,46,14.393656,0.987792,,,0.963469,26695680,1436.62,15,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,108,6,30,1,True,0,42,13.422654,0.992119,,,0.931852,27248640,1195.35,14,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,108,6,30,1,True,1,43,34.390293,4.516779,,,3.316416,27248640,1023.73,12,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,108,6,30,1,True,2,44,13.741903,1.002682,,,0.947885,27248640,1530.82,18,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,108,6,30,1,True,3,45,14.182308,1.039641,,,0.980533,27248640,1115.08,13,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,108,6,30,1,True,4,46,13.975517,1.032879,,,0.970185,27248640,1126.11,13,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,126,7,30,1,True,0,42,14.795314,1.047715,,,1.005575,27801600,1008.91,13,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,126,7,30,1,True,1,43,13.664855,0.987106,,,0.937888,27801600,1221.34,16,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,126,7,30,1,True,2,44,14.246299,1.007082,,,0.967435,27801600,1062.71,14,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,126,7,30,1,True,3,45,14.101882,1.033860,,,0.975026,27801600,998.74,13,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Monthly,12,18,126,7,30,1,True,4,46,13.658646,1.008127,,,0.947561,27801600,996.60,13,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Monthly,12,18,36,2,2,3,True,0,42,12.914306,0.922864,,,0.881659,12979461,1138.02,15,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Monthly,12,18,36,2,2,3,True,1,43,12.834705,0.918847,,,0.877011,12979461,1202.94,16,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Monthly,12,18,36,2,2,3,True,2,44,12.803946,0.918857,,,0.875949,12979461,1211.21,16,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Monthly,12,18,36,2,2,3,True,3,45,12.875116,0.922795,,,0.880268,12979461,825.11,11,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Monthly,12,18,36,2,2,3,True,4,46,12.853634,0.920912,,,0.878638,12979461,1910.15,25,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Monthly,12,18,54,3,2,3,True,0,42,13.107933,0.925849,,,0.889774,13057797,1033.07,15,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Monthly,12,18,54,3,2,3,True,1,43,13.175501,0.931477,,,0.894762,13057797,822.42,12,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Monthly,12,18,54,3,2,3,True,2,44,12.938333,0.927111,,,0.884489,13057797,886.15,13,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Monthly,12,18,54,3,2,3,True,3,45,13.162652,0.935758,,,0.896331,13057797,889.45,13,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Monthly,12,18,54,3,2,3,True,4,46,13.432306,0.939306,,,0.907345,13057797,1019.93,15,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Monthly,12,18,72,4,2,3,True,0,42,13.345822,0.940303,,,0.904817,13136133,925.15,15,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Monthly,12,18,72,4,2,3,True,1,43,13.432415,0.950714,,,0.912715,13136133,980.12,16,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Monthly,12,18,72,4,2,3,True,2,44,13.839825,0.963655,,,0.932921,13136133,677.16,11,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Monthly,12,18,72,4,2,3,True,3,45,13.291550,0.940290,,,0.902930,13136133,1286.06,21,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Monthly,12,18,72,4,2,3,True,4,46,13.715866,0.959533,,,0.926687,13136133,743.59,12,False,False,ReLU,
